epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,2404.1,1.00556,0.50882,1.04554,0.94889,0.95314,0.97543,0.73106,1.08666,0.44054,1.1175,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,2464.65,1.00836,0.50572,1.04672,0.9572,0.9398,0.97549,0.72865,1.08351,0.44205,1.11684,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,2525.27,1.00528,0.5045,1.04433,0.94305,0.95588,0.97641,0.72676,1.08751,0.44115,1.12013,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,2586.16,0.99774,0.49713,1.04074,0.94722,0.94346,0.97441,0.72747,1.08597,0.4403,1.11891,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,2646.94,0.99973,0.49818,1.03879,0.9729,0.93268,0.976,0.73181,1.08826,0.43721,1.11849,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,2707.83,0.99536,0.49927,1.0406,0.97711,0.92964,0.97723,0.73462,1.08755,0.43334,1.11508,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,2768.59,0.98841,0.49064,1.03474,0.97073,0.94313,0.97737,0.73575,1.08803,0.43619,1.11424,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,2829.5,0.98784,0.49283,1.03398,0.95361,0.94689,0.97705,0.73517,1.08881,0.44066,1.11363,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2890.35,0.98314,0.49142,1.03136,0.96035,0.94673,0.97478,0.73053,1.0895,0.4409,1.11498,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2951.22,0.97761,0.48753,1.03016,0.96897,0.94241,0.97619,0.72952,1.09081,0.43964,1.11793,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,3011.78,0.97555,0.48402,1.03069,0.96795,0.94217,0.97615,0.73275,1.09161,0.43826,1.11775,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,3072.61,0.9774,0.48449,1.02787,0.96681,0.93746,0.97486,0.7356,1.09319,0.43601,1.11806,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,3133.36,0.96945,0.47985,1.02732,0.96797,0.94153,0.97571,0.73154,1.09374,0.43697,1.11982,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3194.15,0.96414,0.47355,1.02523,0.97297,0.944,0.97646,0.73241,1.09105,0.43729,1.11831,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3254.94,0.96532,0.47485,1.01874,0.97628,0.94299,0.97633,0.73343,1.09305,0.43677,1.12016,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3315.66,0.96011,0.47529,1.02203,0.97184,0.94266,0.97567,0.73195,1.09497,0.43507,1.12141,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3376.28,0.96055,0.47071,1.0193,0.96507,0.9434,0.97553,0.73018,1.09435,0.43553,1.12,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3436.77,0.95439,0.46988,1.01754,0.97555,0.9429,0.97534,0.72592,1.09621,0.43692,1.12172,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,3497.39,0.94699,0.46321,1.01455,0.97539,0.94127,0.9767,0.72764,1.09509,0.43906,1.12161,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,3558.07,0.94581,0.46353,1.01584,0.96807,0.94318,0.97636,0.7271,1.09475,0.43898,1.1217,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,3624.3,0.91572,0.40718,0.99955,0.96833,0.94367,0.9771,0.73086,1.09285,0.44073,1.12173,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,3684.79,0.90012,0.39661,0.99417,0.96111,0.95234,0.97694,0.73168,1.09354,0.43887,1.12226,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,3745.22,0.89379,0.39122,0.99197,0.96036,0.95199,0.97656,0.73186,1.09356,0.43911,1.1211,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,3805.55,0.88641,0.3861,0.98967,0.96922,0.94545,0.97718,0.73076,1.09401,0.4391,1.12228,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,3865.51,0.88356,0.38428,0.98873,0.97427,0.94379,0.97753,0.73229,1.09485,0.44013,1.12351,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,3925.98,0.87464,0.38226,0.98208,0.96878,0.94691,0.97785,0.73289,1.09638,0.44157,1.12467,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,3986.33,0.8716,0.37788,0.98064,0.96881,0.94736,0.97806,0.73331,1.09757,0.44311,1.12508,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4046.92,0.86823,0.37565,0.97861,0.96643,0.94703,0.97798,0.73285,1.09871,0.44338,1.12614,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,4107.25,0.86407,0.37418,0.97828,0.96664,0.94752,0.97798,0.73155,1.0995,0.4433,1.12724,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,4167.55,0.86055,0.3695,0.98026,0.96949,0.94587,0.97806,0.73182,1.10007,0.44358,1.12885,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
